time_period,time_identifier,geographic_level,country_code,country_name,version,characteristic_type,characteristic_value,subjects,KS2_Prior,num_U,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_X,All_Grades,perc_U,perc_1,perc_2,perc_3,perc_4,perc_5,perc_6,perc_7,perc_8,perc_9
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Media Studies,113.5 - 116.5,0,0,4,6,15,49,71,126,179,235,0,685,0,0,0.6,0.9,2.2,7.2,10.4,18.4,26.1,34.3
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Media Studies,117 - 120,0,0,0,0,2,2,11,15,27,51,0,108,0,0,0,0,1.9,1.9,10.2,13.9,25,47.2
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Music,Less than 80,3,4,21,19,8,9,1,1,0,0,1,67,4.5,6.1,31.8,28.8,12.1,13.6,1.5,1.5,0,0
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Music,80 - 89.5,13,31,61,111,88,39,20,8,2,1,1,375,3.5,8.3,16.3,29.7,23.5,10.4,5.3,2.1,0.5,0.3
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Music,90 - 95.5,22,41,121,261,312,201,142,63,35,6,5,1209,1.8,3.4,10,21.7,25.9,16.7,11.8,5.2,2.9,0.5
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Music,96 - 99.5,24,46,137,304,479,417,361,239,98,47,6,2158,1.1,2.1,6.4,14.1,22.3,19.4,16.8,11.1,4.6,2.2
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Music,100 - 102,10,32,79,217,376,489,516,360,222,91,8,2400,0.4,1.3,3.3,9.1,15.7,20.4,21.6,15.1,9.3,3.8
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Music,102.5 - 104.5,14,33,73,201,352,566,655,532,374,183,5,2988,0.5,1.1,2.4,6.7,11.8,19,22,17.8,12.5,6.1
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Music,105 - 107,12,23,44,135,318,524,737,714,565,378,2,3452,0.3,0.7,1.3,3.9,9.2,15.2,21.4,20.7,16.4,11
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Music,107.5 - 109.5,8,12,24,85,203,391,659,830,715,644,2,3573,0.2,0.3,0.7,2.4,5.7,10.9,18.5,23.2,20,18
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Music,110 - 113,3,3,11,56,124,297,596,917,1116,1089,1,4213,0.1,0.1,0.3,1.3,2.9,7.1,14.2,21.8,26.5,25.9
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Music,113.5 - 116.5,2,1,3,16,21,82,223,431,730,1077,1,2587,0.1,0,0.1,0.6,0.8,3.2,8.6,16.7,28.2,41.6
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Music,117 - 120,0,0,0,3,7,15,43,90,179,483,0,820,0,0,0,0.4,0.9,1.8,5.2,11,21.8,58.9
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Other Modern Languages,Less than 80,0,2,3,6,15,21,20,28,45,53,13,206,0,1,1.6,3.1,7.8,10.9,10.4,14.5,23.3,27.5
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Other Modern Languages,80 - 89.5,3,6,17,32,21,34,31,60,58,45,14,321,1,2,5.5,10.4,6.8,11.1,10.1,19.5,18.9,14.7
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Other Modern Languages,90 - 95.5,14,8,32,66,76,124,79,152,228,198,42,1019,1.4,0.8,3.3,6.8,7.8,12.7,8.1,15.6,23.3,20.3
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Other Modern Languages,96 - 99.5,13,11,30,77,124,173,132,191,295,341,60,1447,0.9,0.8,2.2,5.6,8.9,12.5,9.5,13.8,21.3,24.6
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Other Modern Languages,100 - 102,10,6,25,70,105,181,111,208,254,342,39,1351,0.8,0.5,1.9,5.3,8,13.8,8.5,15.9,19.4,26.1
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Other Modern Languages,102.5 - 104.5,11,6,29,58,133,204,169,205,348,429,51,1643,0.7,0.4,1.8,3.6,8.4,12.8,10.6,12.9,21.9,26.9
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Other Modern Languages,105 - 107,4,3,16,52,82,175,139,214,301,484,33,1503,0.3,0.2,1.1,3.5,5.6,11.9,9.5,14.6,20.5,32.9
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Other Modern Languages,107.5 - 109.5,4,2,15,33,74,123,114,207,297,489,44,1402,0.3,0.1,1.1,2.4,5.4,9.1,8.4,15.2,21.9,36
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Other Modern Languages,110 - 113,3,1,6,23,58,96,119,234,344,617,34,1535,0.2,0.1,0.4,1.5,3.9,6.4,7.9,15.6,22.9,41.1
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Other Modern Languages,113.5 - 116.5,2,1,0,4,13,28,37,90,185,409,8,777,0.3,0.1,0,0.5,1.7,3.6,4.8,11.7,24.1,53.2
202021,Academic year,National,E92000001,England,Final,Disadvantage,Non Disadvantaged Pupils,Other Modern Languages,117 - 120,0,0,0,0,1,2,8,12,37,122,3,185,0,0,0,0,0.5,1.1,4.4,6.6,20.3,67
