"time_period","time_identifier","geographic_level","country_code","country_name","version","characteristic_type","characteristic_value","subjects","KS2_Prior","num_U","num_1","num_2","num_3","num_4","num_5","num_6","num_7","num_8","num_9","num_X","num_covid_impacted","all_grades","perc_1","perc_2","perc_3","perc_4","perc_5","perc_6","perc_7","perc_8","perc_9","perc_U","perc_X","per_covid_impacted"
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Ancient History","110 - 113",0,0,2,0,5,7,14,11,4,6,0,4,53,0,3.8,0,9.4,13.2,26.4,20.8,7.5,11.3,0,0,7.5
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Ancient History","113.5 - 116.5",0,0,0,1,1,1,12,16,8,15,0,2,56,0,0,1.8,1.8,1.8,21.4,28.6,14.3,26.8,0,0,3.6
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Ancient History","117 - 120",0,0,0,0,0,0,2,3,2,11,0,1,19,0,0,0,0,0,10.5,15.8,10.5,57.9,0,0,5.3
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Art and Design","Less than 80",5,72,196,275,241,165,96,48,17,6,11,25,1157,6.2,16.9,23.8,20.8,14.3,8.3,4.1,1.5,0.5,0.4,1,2.2
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Art and Design","80 - 89.5",40,195,519,1115,1210,899,511,151,67,27,54,80,4868,4,10.7,22.9,24.9,18.5,10.5,3.1,1.4,0.6,0.8,1.1,1.6
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Art and Design","90 - 95.5",63,245,650,1685,2228,2200,1700,608,266,101,73,201,10020,2.4,6.5,16.8,22.2,22,17,6.1,2.7,1,0.6,0.7,2
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Art and Design","96 - 99.5",40,227,563,1597,2507,3084,2775,1289,599,260,89,210,13240,1.7,4.3,12.1,18.9,23.3,21,9.7,4.5,2,0.3,0.7,1.6
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Art and Design","100 - 102",29,162,419,1150,1981,2837,2942,1556,788,421,81,250,12616,1.3,3.3,9.1,15.7,22.5,23.3,12.3,6.2,3.3,0.2,0.6,2
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Art and Design","102.5 - 104.5",31,146,408,1122,1994,3240,3905,2229,1292,607,63,266,15303,1,2.7,7.3,13,21.2,25.5,14.6,8.4,4,0.2,0.4,1.7
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Art and Design","105 - 107",36,91,287,860,1737,2906,4037,2755,1721,1043,61,329,15863,0.6,1.8,5.4,11,18.3,25.4,17.4,10.8,6.6,0.2,0.4,2.1
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Art and Design","107.5 - 109.5",16,54,163,542,1008,1953,3269,2804,1855,1156,47,215,13082,0.4,1.2,4.1,7.7,14.9,25,21.4,14.2,8.8,0.1,0.4,1.6
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Art and Design","110 - 113",13,33,112,326,710,1489,2866,2873,2429,1885,39,231,13006,0.3,0.9,2.5,5.5,11.4,22,22.1,18.7,14.5,0.1,0.3,1.8
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Art and Design","113.5 - 116.5",6,6,22,99,183,490,1163,1480,1512,1493,17,136,6607,0.1,0.3,1.5,2.8,7.4,17.6,22.4,22.9,22.6,0.1,0.3,2.1
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Art and Design","117 - 120",0,0,5,11,39,70,279,424,548,702,8,35,2121,0,0.2,0.5,1.8,3.3,13.2,20,25.8,33.1,0,0.4,1.7
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biblical Hebrew","80 - 89.5",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,100
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biblical Hebrew","90 - 95.5",0,0,0,0,0,0,1,0,0,0,0,8,9,0,0,0,0,0,11.1,0,0,0,0,0,88.9
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biblical Hebrew","96 - 99.5",0,0,0,1,0,0,0,0,0,0,0,14,15,0,0,6.7,0,0,0,0,0,0,0,0,93.3
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biblical Hebrew","100 - 102",0,0,0,0,0,0,2,0,0,0,0,11,13,0,0,0,0,0,15.4,0,0,0,0,0,84.6
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biblical Hebrew","102.5 - 104.5",0,0,0,0,0,0,1,1,0,0,0,16,18,0,0,0,0,0,5.6,5.6,0,0,0,0,88.9
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biblical Hebrew","105 - 107",0,0,0,0,0,0,1,1,0,0,0,11,13,0,0,0,0,0,7.7,7.7,0,0,0,0,84.6
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biblical Hebrew","107.5 - 109.5",0,0,0,0,0,0,1,3,0,0,0,13,17,0,0,0,0,0,5.9,17.6,0,0,0,0,76.5
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biblical Hebrew","110 - 113",0,0,0,0,0,0,0,0,3,1,0,13,17,0,0,0,0,0,0,0,17.6,5.9,0,0,76.5
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biblical Hebrew","113.5 - 116.5",0,0,0,0,0,1,0,0,2,0,0,9,12,0,0,0,0,8.3,0,0,16.7,0,0,0,75
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Biblical Hebrew","117 - 120",0,0,0,0,0,0,0,0,0,2,0,5,7,0,0,0,0,0,0,0,0,28.6,0,0,71.4
